#mm9.knownGene.name	mm9.knownGene.chrom	mm9.knownGene.txStart	mm9.knownGene.txEnd	mm9.knownGene.strand	mm9.kgXref.refseq
uc007atf.2	chr1	39424695	39428755	+	NM_053257
uc007atg.2	chr1	39428341	39535592	-	NM_018775
uc007ati.1	chr1	39592398	39603722	+	NM_028043
uc011wju.1	chr1	39605591	39605685	-	NR_028555
uc007atl.2	chr1	39608143	39634192	-	NM_001033135
uc007atm.1	chr1	39675250	39708027	-	NM_170597
uc007atn.2	chr1	39722145	39777834	-	NM_001145660
uc007ato.2	chr1	39860985	39862177	-	NM_001177348
uc007atr.1	chr1	39957757	40083155	+	NM_008696
uc007atu.1	chr1	40141612	40182070	+	NM_010555
uc007atw.1	chr1	40323430	40373022	+	NM_001123382
uc007atx.1	chr1	40381471	40422316	+	NM_133193
uc007auc.2	chr1	40497472	40522259	+	NM_001025602
uc011wjz.1	chr1	40522850	40557699	+	NM_008365
uc007auk.1	chr1	40572206	40606142	+	NM_010553
uc007aul.1	chr1	40637071	40687576	+	NM_177084
uc007aun.1	chr1	40738556	40825730	+	NM_001033289
uc007auo.1	chr1	40828884	40847502	-	NM_172499
uc007auq.1	chr1	40862445	40912112	+	NM_001081198
uc007auw.1	chr1	42753990	42757054	+	NM_008900
uc007aux.2	chr1	42757180	42760021	+	NR_027891
uc007ava.2	chr1	42908077	42962528	+	NM_023514
uc007avd.2	chr1	43009716	43092294	+	NM_053107
uc007avf.1	chr1	43104113	43155467	-	NM_001013025
uc007avj.1	chr1	43155554	43172791	+	NM_133818
uc007avk.1	chr1	43179918	43220806	-	NM_010212
uc007avm.2	chr1	43245965	43246603	+	NM_009082
uc007avo.2	chr1	43502595	43627363	+	NM_010879
uc007avp.2	chr1	43787446	43799409	+	NM_024283
uc007avq.1	chr1	43807075	43884553	-	NM_026430
uc007avs.1	chr1	43990851	44059816	+	NM_009418
uc007avv.1	chr1	44066252	44076851	-	NM_001013799
uc007avz.2	chr1	44143461	44159233	-	NM_029368
uc007awb.1	chr1	44163390	44175618	-	NM_023645
uc007awf.2	chr1	44176812	44201616	+	NM_144558
uc007awi.2	chr1	44204588	44238105	+	NM_011729
uc007awk.1	chr1	44260914	44275776	-	NM_207281
uc007awm.2	chr1	44608515	44853681	+	NM_028450
uc007awq.2	chr1	45368382	45406551	+	NM_009930
uc007awr.1	chr1	45431175	45560127	-	NM_007737
uc007awt.1	chr1	45852345	45880458	+	NM_028599
uc007awu.1	chr1	45964914	45982439	-	NM_016917
uc011wkj.1	chr1	46068391	46069108	-	NM_001177356
uc007awx.2	chr1	46123582	46430395	+	NM_001160386
uc007axc.1	chr1	46864388	46910354	-	NM_172653
uc007axj.1	chr1	50984366	51244114	+	NM_019790
uc007axk.1	chr1	51345969	51359804	+	NM_138741
uc007axn.1	chr1	51526331	51535243	-	NM_028696
uc007axs.2	chr1	51806609	51972818	-	NM_001161817
uc007axx.1	chr1	52065087	52164028	+	NM_011487
uc007aya.1	chr1	52176281	52218707	+	NM_009283
uc007aye.2	chr1	52220293	52290076	-	NM_001081081
uc007ayh.2	chr1	52512692	52557292	-	NM_008667
uc011wkp.1	chr1	52687548	52708763	+	NM_001142647
uc007ayl.2	chr1	52713147	52784162	-	NM_133829
uc007ayo.2	chr1	52846263	52874532	-	NM_008384
uc007ayp.1	chr1	52901889	52977704	+	NM_146108
uc007ayr.1	chr1	52981970	53009684	-	NM_144953
uc007ayt.1	chr1	53118506	53124923	+	NM_010834
uc007ayu.1	chr1	53215420	53244461	-	NM_027070
uc007ayv.1	chr1	53246031	53353840	-	NM_153556
uc011wks.1	chr1	53353938	53367089	+	NM_145517
uc007aza.1	chr1	53370506	53380908	+	NM_028091
uc007azg.1	chr1	53401487	53409543	-	NM_133728
uc011wkv.1	chr1	53753288	53753411	+	NR_037307
uc007azj.2	chr1	53812355	53842059	-	NM_133810
uc007azk.2	chr1	53863717	54251878	-	NM_001001883
uc007azo.1	chr1	54307526	54425571	+	NM_030025
uc007azp.1	chr1	54454424	54495815	-	NM_001033194
uc011wky.1	chr1	54537549	54614526	-	NM_001163314
uc011wkz.1	chr1	54702183	54983231	-	NM_001081433
uc007azx.1	chr1	55042012	55084322	-	NM_031179
uc007azz.1	chr1	55109613	55129546	+	NM_001039710
uc007bab.2	chr1	55134677	55144776	-	NM_010477
uc007bac.2	chr1	55144991	55148161	+	NM_008303
uc007bad.1	chr1	55188088	55211743	+	NM_025283
uc007bag.1	chr1	55227003	55283626	-	NM_028713
uc007baj.1	chr1	55294020	55296902	+	NM_175439
uc007bal.1	chr1	55356912	55420313	-	NM_029267
uc007ban.2	chr1	55462789	55811129	+	NM_001114663
uc007bar.1	chr1	56692892	56694295	-	NM_027661
uc007bas.1	chr1	56850824	57028178	-	NM_139146
uc007bay.2	chr1	57434463	57442266	+	NM_028546
uc007bba.2	chr1	57445087	57463518	-	NM_001037742
uc007bbc.2	chr1	57463391	57472802	+	NM_001081181
uc007bbd.2	chr1	57831704	58005241	+	NM_144882
uc007bbf.2	chr1	58011944	58026928	-	NM_001159864
uc007bbk.2	chr1	58052817	58083121	+	NM_199007
uc007bbl.1	chr1	58086812	58163254	+	NM_009676
uc007bbm.1	chr1	58169979	58257296	+	NM_023617
uc007bbo.1	chr1	58267240	58325440	+	NM_023631
uc007bbp.1	chr1	58335169	58436108	+	NM_001008419
uc007bbr.1	chr1	58449979	58463392	+	NM_025824
uc007bbs.2	chr1	58468831	58480932	-	NM_001042634
uc007bbx.2	chr1	58487836	58502330	-	NM_027351
uc007bcb.1	chr1	58504477	58519120	+	NM_022988
uc007bcd.1	chr1	58519614	58561763	-	NM_008765
uc007bci.2	chr1	58579649	58643177	-	NM_172513
uc007bck.1	chr1	58643442	58652792	+	NM_025597
uc007bcm.2	chr1	58714963	58752833	-	NM_175370
uc007bcq.1	chr1	58770129	58815726	+	NM_207653
uc007bct.1	chr1	58859345	58904347	+	NM_001080126
uc007bcv.2	chr1	58957293	59030326	-	NM_172406
uc007bcy.1	chr1	59030414	59051965	+	NM_172656
uc007bdc.1	chr1	59107349	59151744	-	NM_175200
uc007bde.1	chr1	59157436	59176940	-	NM_001033449
uc007bdi.2	chr1	59177778	59218480	-	NM_145143
uc007bdm.2	chr1	59219599	59294075	-	NM_028717
uc007bdr.2	chr1	59313750	59409213	+	NM_001033373
uc011wlq.1	chr1	59538990	59543799	+	NM_008057
uc007bdv.1	chr1	59573107	59691353	+	NM_001013771
uc007bdx.1	chr1	59696277	59727678	-	NM_009460
uc007bdy.1	chr1	59741849	59768354	+	NM_018868
uc011wlr.1	chr1	59748801	59748854	+	NR_028554
uc011wls.1	chr1	59761651	59761714	+	NR_028521
uc007bdz.1	chr1	59821480	59927703	+	NM_007561
uc011wlt.1	chr1	59969849	60042190	+	NM_001037725
uc007beb.1	chr1	60045911	60099931	-	NM_027407
uc007bee.2	chr1	60133711	60154751	-	NM_021312
uc007beh.1	chr1	60155124	60207878	+	NM_139150
uc007bej.1	chr1	60237442	60391549	+	NM_173444
uc007ben.1	chr1	60400215	60444231	+	NM_030013
uc007bep.2	chr1	60466462	60538007	+	NM_001198570
uc007bes.1	chr1	60540028	60623609	-	NM_001045513
uc007bew.2	chr1	60803231	60830203	+	NM_007642
uc007bez.1	chr1	60965868	60972674	+	NM_009843
uc011wlz.1	chr1	61034757	61057164	+	NM_017480
uc007bfe.2	chr1	61685397	62688858	+	NM_001081050
uc007bfl.1	chr1	62749890	62865266	+	NM_001077403
uc011wmc.1	chr1	63094374	63160841	-	NM_001114609
uc007bfv.2	chr1	63190165	63223396	-	NM_001160040
uc007bfz.2	chr1	63223404	63227060	+	NM_018796
uc011wme.1	chr1	63225596	63225709	+	NR_028558
uc007bga.1	chr1	63229267	63260783	-	NM_146250
uc007bgb.2	chr1	63319842	63361149	+	NM_028673
uc007bgg.1	chr1	63492477	63643089	+	NM_011780
uc007bgi.1	chr1	63669424	63733501	-	NM_001081658
uc007bgj.1	chr1	63745400	63776892	-	NM_029696
uc007bgl.2	chr1	63777198	63799959	+	NM_172422
uc007bgm.1	chr1	64011300	64015573	+	NR_027824
uc007bgo.1	chr1	64082246	64167963	-	NM_033563
uc007bgr.1	chr1	64579377	64651122	+	NM_009952
uc007bgu.1	chr1	64653053	64663742	-	NM_025964
uc007bgx.1	chr1	64737786	64772216	+	NM_001097644
uc007bgy.1	chr1	64777131	64784324	-	NM_022721
uc007bha.1	chr1	64835694	65003398	-	NM_001039493
uc007bhc.1	chr1	65059659	65079322	-	NM_027582
uc007bhf.1	chr1	65095130	65097737	-	NM_007777
uc007bhg.2	chr1	65108411	65110014	-	NM_007776
uc007bhh.1	chr1	65118105	65120095	-	NM_001082573
uc007bhj.1	chr1	65126800	65128841	-	NM_144761
uc007bhk.1	chr1	65146962	65149937	-	NM_007774
uc007bhm.1	chr1	65153886	65169767	-	NM_175293
uc007bhn.2	chr1	65205189	65225716	-	NM_010497
uc007bhs.1	chr1	65233258	65325270	+	NM_011086
uc007bhu.1	chr1	65357830	65435818	+	NM_139270
uc007bhv.1	chr1	65973095	65974878	+	NM_027010
uc007bhz.1	chr1	66368571	66489157	+	NM_008632
uc007bih.2	chr1	66515020	66745722	+	NM_175510
uc007bil.1	chr1	66747466	66766379	+	NM_025683
uc007bim.2	chr1	66765816	66864169	-	NM_001122738
uc007bir.1	chr1	66877426	66909841	-	NM_007381
uc007bit.2	chr1	66970869	66991630	-	NM_021285
uc007biw.2	chr1	67047090	67085446	-	NM_001190985
uc007biy.1	chr1	67169639	67277022	+	NM_001080809
uc007bjb.1	chr1	68086539	69154633	-	NM_010154
uc007bjd.2	chr1	69577783	69732534	-	NM_011770
uc007bjh.1	chr1	69873561	70771706	+	NM_029160
uc007bjk.1	chr1	70772288	70931971	+	NM_177164
uc007bjm.2	chr1	71074108	71149546	-	NM_007525
uc011wmq.1	chr1	71289663	71461484	-	NM_175210
uc007bjt.2	chr1	71603729	71625977	+	NM_026195
uc007bju.1	chr1	71632096	71699745	-	NM_010233
uc011wmr.1	chr1	71934685	71937778	+	NR_027658
uc007bkg.2	chr1	72205806	72258881	-	NM_001005423
uc007bki.2	chr1	72305746	72330888	-	NM_023523
uc007bkk.1	chr1	72330946	72349569	+	NM_175564
uc007bkl.2	chr1	72353994	72441527	+	NM_009533
uc007bkn.1	chr1	72473685	72583138	-	NM_001045533
uc007bks.2	chr1	72629824	72683364	+	NM_018817
uc007bkt.2	chr1	72689553	72747138	-	NM_176980
uc007bkv.2	chr1	72757833	72760387	+	NM_009084
uc007bkw.1	chr1	72871076	72899045	+	NM_008342
uc007bkx.1	chr1	72904638	72921439	-	NM_010518
uc007bkz.2	chr1	73061648	73062473	-	NM_009407
uc007blb.1	chr1	73437958	73454143	-	NR_003202
uc011wmx.1	chr1	73956804	74171021	-	NM_027884
uc011wmy.1	chr1	74172114	74194804	+	NM_001170641
uc007bll.1	chr1	74200567	74207820	+	NM_009909
uc007blm.1	chr1	74238359	74241205	-	NM_178241
uc007blo.1	chr1	74283123	74314787	+	NM_029711
uc007blq.1	chr1	74325173	74326163	+	NM_174985
uc011wmz.1	chr1	74326413	74331312	-	NM_001190444
uc007blt.1	chr1	74331607	74400266	+	NM_001039509
uc007blv.2	chr1	74334820	74350910	-	NM_027154
uc007blx.1	chr1	74408681	74415895	+	NM_001033345
uc007bly.2	chr1	74421776	74432625	+	NM_013612
uc007blz.2	chr1	74438182	74443859	+	NM_153088
uc007bma.2	chr1	74440883	74440968	+	NR_029743
uc007bmb.2	chr1	74455957	74482134	+	NM_009509
uc007bmd.2	chr1	74482083	74590860	-	NM_176972
uc007bmf.2	chr1	74552633	74577416	+	NM_021383
uc007bmg.1	chr1	74589462	74612551	+	NM_001081456
uc007bmm.1	chr1	74611701	74634602	-	NM_029888
uc007bmq.1	chr1	74634934	74639017	+	NM_025784
uc007bms.2	chr1	74640325	74647971	-	NM_021313
uc007bmv.1	chr1	74648028	74683467	+	NM_175031
uc007bmy.1	chr1	74708327	74744547	+	NM_001014974
uc007bna.1	chr1	74760147	74784464	+	NM_024264
uc007bnb.2	chr1	74785495	74795529	-	NM_153744
uc007bne.1	chr1	74818465	74831893	+	NM_009526
uc007bnf.2	chr1	74838592	74850749	+	NM_009518
uc007bng.2	chr1	74901602	74904306	+	NM_009872
uc007bnh.2	chr1	74928082	74931982	-	NM_153111
uc007bni.1	chr1	74936517	74939709	-	NM_021541
uc011wne.1	chr1	74947231	74947295	-	NR_029876
uc007bnj.1	chr1	74948653	74982173	-	NM_001039495
uc007bnl.1	chr1	74991891	74998225	-	NM_010544
uc007bnn.2	chr1	75013919	75121800	-	NM_029342
uc007bno.1	chr1	75122115	75130464	-	NM_194333
uc007bnq.1	chr1	75131788	75139134	-	NM_026977
uc007bnt.1	chr1	75139359	75144483	+	NM_170755
uc011wng.1	chr1	75165219	75168200	+	NM_001159905
uc007bnx.1	chr1	75168214	75176857	-	NM_023732
uc007bob.1	chr1	75177439	75188497	-	NM_001003917
uc007bod.1	chr1	75188708	75195960	+	NM_026187
uc011wnk.1	chr1	75194809	75207353	-	NM_029010
uc007boh.2	chr1	75207403	75212181	+	NM_011494
uc007bok.1	chr1	75211548	75215828	-	NM_009447
uc007bon.2	chr1	75232997	75242267	+	NM_001159883
uc007boq.1	chr1	75243615	75260783	-	NM_008985
uc007bos.1	chr1	75268776	75274955	-	NM_009049
uc011wnp.1	chr1	75305139	75314212	-	NM_001110831
uc007box.1	chr1	75356918	75364290	+	NM_010043
uc007boz.1	chr1	75371871	75428881	+	NM_007463
uc007bpb.1	chr1	75381539	75385679	+	NM_001085371
uc007bpd.1	chr1	75432517	75439751	+	NM_133708
uc007bpg.1	chr1	75447084	75470915	+	NM_183022
uc007bpj.2	chr1	75471143	75476046	-	NM_001001566
uc007bpl.2	chr1	75476106	75482268	+	NM_177056
uc007bpn.2	chr1	75482399	75503027	-	NM_178884
uc007bps.1	chr1	75503651	75506929	+	NM_010564
uc007bpt.2	chr1	75518103	75533910	+	NM_027886
uc007bpv.2	chr1	75542840	75556006	+	NM_009208
uc007bpz.1	chr1	77363759	77511663	-	NM_007936
uc007bqc.2	chr1	78097841	78193711	-	NM_001159520
uc007bqe.1	chr1	78306920	78416861	+	NM_001004173
uc007bqg.1	chr1	78421410	78485421	-	NM_011811
uc007bql.2	chr1	78507634	78534748	+	NM_026713
uc007bqn.2	chr1	78654399	78664176	+	NM_001001981
uc007bqo.2	chr1	78654399	78704318	+	NM_028817
uc007bqq.1	chr1	78813523	78816600	+	NM_021342
uc007bqr.1	chr1	79431243	79436665	-	NM_009129
uc011wnw.1	chr1	79603450	79668547	-	NM_183027
uc007bqu.2	chr1	79698836	79758344	-	NM_001111279
uc007bqy.1	chr1	79772592	79778020	+	NM_001081210
uc007bqz.2	chr1	79790895	79855240	-	NM_009255
uc007brb.2	chr1	80195273	80210519	-	NM_173425
uc007brc.1	chr1	80263392	80337005	-	NM_016716
uc007brg.2	chr1	80497647	80755128	-	NM_175291
uc007brl.1	chr1	81073891	81268226	+	NM_172849
uc007brp.2	chr1	82229679	82288014	-	NM_010570
uc007brq.2	chr1	82313153	82441941	+	NM_029777
uc007brt.1	chr1	82447297	82583424	-	NM_007735
uc007brv.1	chr1	82583495	82718634	+	NM_007734
uc007brx.1	chr1	82721492	82748964	+	NM_029409
uc007bsd.1	chr1	82753223	82765031	-	NM_025453
uc007bse.1	chr1	82836057	82892850	+	NM_010472
uc007bsi.2	chr1	83009097	83035023	-	NM_030556
uc007bsk.2	chr1	83113340	83115742	+	NM_016960
uc007bsn.2	chr1	83156336	83207147	+	NM_027725
uc007bsq.2	chr1	83252355	83404775	-	NM_172430
uc007bst.2	chr1	84032867	84281220	-	NM_001003948
uc007bsw.1	chr1	84366413	84692796	-	NM_152915
uc007bsy.1	chr1	84717763	84835879	-	NM_133975
uc007btc.2	chr1	84836415	84897061	+	NM_025386
uc007btd.1	chr1	84903279	84931658	-	NM_027921
uc007bth.2	chr1	85022920	85323941	-	NM_033616
uc007btq.1	chr1	85196185	85210337	+	NM_001081746
uc007btt.1	chr1	85242918	85267141	-	NM_175219
uc007bty.1	chr1	87435604	87448760	+	NM_033616
uc007bub.1	chr1	87473474	87500466	-	NM_175397
uc007buc.1	chr1	87497277	87541611	+	NM_001013817
uc007buh.1	chr1	87546624	87606023	+	NM_013673
uc007buj.2	chr1	87613657	87633181	-	NM_177055
uc007bum.2	chr1	87690021	87748152	+	NM_133781
uc011wof.1	chr1	87791084	87805273	+	NM_022417
uc007bup.2	chr1	87825057	87828331	+	NR_037692
uc007buq.1	chr1	87836111	87857630	-	NM_001033290
uc007buv.2	chr1	87918516	87926533	+	NM_027300
uc007bux.2	chr1	87942437	87952031	+	NM_001144992
uc007buy.1	chr1	87961193	88035870	+	NM_027357
uc007buz.1	chr1	87995611	88008545	-	NM_008311
uc007bvg.1	chr1	88051354	88174859	+	NM_030184
uc007bvk.2	chr1	88199795	88203880	+	NM_145222
uc007bvl.1	chr1	88241293	88256030	-	NM_010880
uc011woi.1	chr1	88247744	88247860	-	NR_028478
uc007bvm.1	chr1	88252834	88252902	-	NR_002851
uc011woj.1	chr1	88256148	88264539	+	NR_015507
uc007bvn.1	chr1	88282899	88284716	-	NM_010341
uc007bvo.2	chr1	88322903	88324624	+	NM_027966
uc007bvp.1	chr1	88423310	88427273	+	NM_008972
uc007bvq.1	chr1	88439589	88479076	-	NM_008801
uc007bvr.1	chr1	88483674	88503075	+	NM_172974
uc007bvt.1	chr1	88562865	88567147	-	NM_010933
uc007bvw.2	chr1	88600378	88946672	+	NM_001172157
uc007bvy.1	chr1	88983265	88986503	-	NM_007433
uc007bwa.1	chr1	88994578	88998181	-	NM_001081082
uc007bwb.1	chr1	89021582	89024487	+	NM_007432
uc007bwc.1	chr1	89044229	89051663	-	NM_021306
uc007bwf.1	chr1	89087226	89096645	+	NM_021600
uc007bwh.1	chr1	89102385	89108410	+	NM_009604
uc007bwk.1	chr1	89110488	89125433	+	NM_001039170
uc007bwo.1	chr1	89160938	89207366	+	NM_028889
uc007bwt.2	chr1	89223572	89347385	+	NM_146112
uc007bwu.2	chr1	89282858	89291304	-	NM_001110227
uc007bww.2	chr1	89366838	89372034	+	NM_028473
uc007bwy.2	chr1	89373403	89470445	-	NM_001111314
uc007bwz.2	chr1	89480596	89494415	+	NM_001160165
uc007bxc.2	chr1	89516886	89617083	+	NM_010566
uc007bxl.1	chr1	89652645	89688997	+	NM_029846
uc011wor.1	chr1	89681145	89681393	+	NR_028519
uc007bxs.1	chr1	89700254	89741732	+	NM_009118
uc011wos.1	chr1	89749861	89841064	+	NM_177646
uc007bxy.1	chr1	89841695	89905126	-	NM_001198573
uc007byj.2	chr1	90101306	90102323	-	NM_008299
